@relation kd1000-weka.filters.unsupervised.attribute.NumericCleaner-min1.0-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1

@attribute Geschlecht {w,m}
@attribute Alter {18-30,41-50,>60,31-40,51-60}
@attribute Kinder {nein,ja}
@attribute Familienstand {Partnerschaft,ledig}
@attribute Berufstaetig {ja,nein}
@attribute Einkaufstag {Montag,Mittwoch,Dienstag,Freitag,Samstag,Donnerstag}
@attribute Einkaufsuhrzeit {'10-12 Uhr','<10 Uhr','>17 Uhr','12-14 Uhr','14-17 Uhr'}
@attribute Wohnort {'> 25 km','< 10 km','10 - 25 km'}
@attribute Haushaltsnettoeinkommen {2000-<3200,>4500,1000-<2000,<1000,3200-<4500}
@attribute Stammkunde {'1 bis 5',0,'> 5'}
@attribute Einkaufssumme numeric
@attribute Elektrowerkzeuge numeric
@attribute Eisenwaren numeric
@attribute Handwerkzeuge numeric
@attribute Sanitaermaterial numeric
@attribute Schliesstechnik numeric
@attribute Fliesen numeric
@attribute Farben numeric
@attribute Armaturen numeric
@attribute Renovierung numeric
@attribute Elektromaterial numeric
@attribute Baustoffe numeric
@attribute Holz numeric
@attribute Bodenbelag numeric
@attribute Leuchten numeric
@attribute Aktionsware numeric

@data
m,>60,ja,Partnerschaft,ja,Dienstag,'10-12 Uhr','< 10 km',3200-<4500,'1 bis 5',142,?,22,38,?,30,?,?,?,120,?,?,?,?,?,?
m,51-60,nein,Partnerschaft,ja,Freitag,'10-12 Uhr','< 10 km',<1000,'> 5',117,?,?,?,82,?,?,?,177,19,?,?,16,?,?,?
m,>60,nein,Partnerschaft,ja,Montag,'12-14 Uhr','10 - 25 km',1000-<2000,0,212,40,?,14,?,56,?,?,?,?,?,102,?,?,?,?
m,18-30,nein,ledig,ja,Donnerstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',219,?,?,?,?,?,?,?,?,219,?,?,?,?,?,?
m,51-60,ja,ledig,ja,Samstag,'14-17 Uhr','< 10 km',1000-<2000,'> 5',33,?,3,36,?,36,?,?,?,?,?,?,?,?,?,?
w,>60,nein,ledig,nein,Freitag,'>17 Uhr','10 - 25 km',2000-<3200,'> 5',185,98,?,?,33,?,228,?,54,?,?,?,54,?,?,?
m,18-30,ja,ledig,nein,Freitag,'10-12 Uhr','> 25 km',3200-<4500,'> 5',236,?,7,?,?,102,?,?,?,93,?,?,?,?,?,136
m,51-60,ja,ledig,nein,Samstag,'>17 Uhr','10 - 25 km',>4500,'1 bis 5',323,?,4,?,?,51,?,?,?,116,?,147,?,?,56,?
w,31-40,nein,ledig,nein,Montag,'>17 Uhr','10 - 25 km',3200-<4500,'> 5',486,240,7,30,?,84,?,?,?,170,86,18,?,?,?,?
m,31-40,nein,ledig,ja,Donnerstag,'12-14 Uhr','< 10 km',2000-<3200,0,585,66,?,15,?,?,?,?,?,234,?,?,?,?,?,270
w,18-30,nein,Partnerschaft,nein,Samstag,'14-17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',516,258,15,1,?,24,?,?,?,?,159,?,?,?,72,?
m,31-40,ja,Partnerschaft,nein,Freitag,'12-14 Uhr','< 10 km',<1000,'1 bis 5',719,?,4,?,?,20,141,?,69,132,?,350,23,?,?,?
m,41-50,ja,Partnerschaft,ja,Dienstag,'<10 Uhr','10 - 25 km',1000-<2000,'> 5',223,?,12,?,?,30,?,?,?,94,?,?,?,?,?,?
m,>60,nein,ledig,ja,Donnerstag,'14-17 Uhr','10 - 25 km',1000-<2000,0,302,?,?,?,?,?,?,?,?,76,?,?,12,?,?,214
w,18-30,ja,Partnerschaft,ja,Montag,'<10 Uhr','< 10 km',1000-<2000,'> 5',711,134,5,12,60,?,255,?,?,111,?,387,?,?,?,?
w,41-50,ja,Partnerschaft,ja,Freitag,'14-17 Uhr','< 10 km',2000-<3200,0,394,?,?,33,22,?,204,?,102,147,?,152,40,?,?,?
m,51-60,ja,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',21,?,?,?,?,?,21,?,?,?,?,?,?,?,?,?
m,>60,ja,ledig,ja,Freitag,'10-12 Uhr','< 10 km',2000-<3200,0,388,?,14,15,72,?,102,?,36,13,?,228,?,?,?,61
w,>60,ja,Partnerschaft,ja,Samstag,'<10 Uhr','10 - 25 km',1000-<2000,'1 bis 5',277,?,?,30,162,?,?,?,80,?,?,85,?,?,?,?
m,18-30,ja,ledig,nein,Donnerstag,'>17 Uhr','< 10 km',3200-<4500,'1 bis 5',273,92,12,18,?,?,?,?,?,?,?,107,46,?,?,?
m,18-30,nein,ledig,nein,Montag,'10-12 Uhr','10 - 25 km',1000-<2000,'1 bis 5',120,?,3,14,?,68,?,?,?,54,?,?,63,?,?,?
m,41-50,ja,ledig,nein,Donnerstag,'12-14 Uhr','10 - 25 km',2000-<3200,'1 bis 5',239,?,?,12,?,?,?,?,?,144,102,68,?,?,51,?
m,18-30,nein,ledig,ja,Montag,'<10 Uhr','< 10 km',3200-<4500,'1 bis 5',363,?,8,?,?,27,?,?,?,124,?,231,?,?,?,?
m,31-40,nein,ledig,ja,Samstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',619,?,7,?,37,?,?,?,?,158,?,?,?,?,?,399
m,>60,nein,ledig,ja,Samstag,'14-17 Uhr','< 10 km',2000-<3200,0,154,?,12,?,51,32,74,?,123,28,?,?,?,?,?,63
m,18-30,ja,Partnerschaft,ja,Freitag,'10-12 Uhr','10 - 25 km',>4500,'1 bis 5',202,?,2,18,?,?,?,?,?,?,48,?,?,?,63,?
w,18-30,ja,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',>4500,'1 bis 5',437,?,14,15,28,?,51,?,?,174,?,135,36,?,?,?
m,18-30,nein,Partnerschaft,nein,Dienstag,'>17 Uhr','10 - 25 km',>4500,'> 5',617,?,18,?,?,33,?,?,?,28,132,?,?,68,?,264
w,>60,nein,Partnerschaft,nein,Dienstag,'12-14 Uhr','< 10 km',1000-<2000,'> 5',341,116,4,12,51,81,201,?,128,162,150,?,?,?,35,?
m,18-30,nein,ledig,nein,Dienstag,'12-14 Uhr','< 10 km',1000-<2000,'1 bis 5',145,?,4,12,25,40,39,?,?,?,?,?,36,?,10,?
w,>60,ja,Partnerschaft,ja,Samstag,'12-14 Uhr','10 - 25 km',<1000,'> 5',138,?,5,2,?,23,?,?,?,94,?,?,?,?,?,?
m,>60,ja,Partnerschaft,nein,Dienstag,'12-14 Uhr','10 - 25 km',3200-<4500,0,128,?,5,1,?,6,?,92,?,?,1,?,?,?,?,?
m,18-30,ja,Partnerschaft,nein,Samstag,'<10 Uhr','10 - 25 km',3200-<4500,'> 5',527,92,6,6,30,8,61,?,?,?,84,106,22,?,?,174
m,18-30,nein,ledig,nein,Freitag,'>17 Uhr','< 10 km',3200-<4500,'> 5',198,?,12,7,?,123,?,?,?,?,?,?,?,?,?,160
w,51-60,nein,Partnerschaft,ja,Dienstag,'<10 Uhr','< 10 km',<1000,'> 5',242,?,8,27,?,?,?,?,?,?,?,?,12,?,?,222
m,51-60,ja,Partnerschaft,ja,Freitag,'12-14 Uhr','10 - 25 km',2000-<3200,0,124,67,27,6,30,?,26,?,?,?,?,?,?,?,?,?
m,51-60,ja,Partnerschaft,ja,Freitag,'>17 Uhr','< 10 km',1000-<2000,0,110,?,10,26,?,54,?,48,?,?,?,52,?,?,?,?
m,51-60,ja,Partnerschaft,nein,Samstag,'14-17 Uhr','< 10 km',>4500,0,53,?,?,?,?,?,?,?,?,?,?,?,30,?,?,23
m,51-60,ja,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'> 5',106,?,?,?,42,?,97,?,202,64,?,?,?,?,?,?
m,>60,nein,Partnerschaft,ja,Samstag,'10-12 Uhr','10 - 25 km',1000-<2000,0,594,?,21,?,69,?,93,?,213,66,72,?,18,?,30,375
m,18-30,nein,Partnerschaft,ja,Dienstag,'10-12 Uhr','< 10 km',>4500,0,348,?,?,?,6,?,107,?,?,76,?,179,?,?,?,87
m,18-30,nein,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',<1000,'1 bis 5',396,210,10,12,?,58,?,?,?,?,?,140,36,?,?,?
m,>60,ja,Partnerschaft,ja,Freitag,'<10 Uhr','< 10 km',<1000,'> 5',769,72,10,13,?,?,?,?,?,106,138,?,?,?,38,288
m,31-40,nein,ledig,ja,Dienstag,'10-12 Uhr','10 - 25 km',1000-<2000,'> 5',457,?,?,24,?,?,?,?,143,?,?,188,102,?,?,?
w,18-30,nein,ledig,ja,Dienstag,'>17 Uhr','10 - 25 km',<1000,'> 5',463,?,?,30,34,?,184,?,157,123,?,44,?,66,31,135
w,31-40,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',2000-<3200,0,217,?,9,18,?,52,?,?,?,48,?,?,?,?,54,106
m,>60,nein,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',2000-<3200,'> 5',367,116,?,?,75,?,267,?,94,34,?,?,?,?,?,142
m,31-40,ja,Partnerschaft,ja,Mittwoch,'10-12 Uhr','10 - 25 km',>4500,'1 bis 5',570,176,10,34,?,?,?,?,?,?,22,115,?,?,78,165
m,>60,ja,Partnerschaft,ja,Samstag,'>17 Uhr','10 - 25 km',<1000,'> 5',483,?,?,?,?,?,?,?,?,80,54,144,?,?,?,285
m,41-50,nein,Partnerschaft,ja,Montag,'14-17 Uhr','< 10 km',<1000,'1 bis 5',234,?,9,?,?,62,?,?,?,225,?,?,?,?,?,?
w,18-30,nein,ledig,nein,Dienstag,'10-12 Uhr','> 25 km',3200-<4500,'> 5',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
w,>60,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',876,62,5,24,?,22,?,?,?,?,?,510,?,?,26,273
w,>60,ja,Partnerschaft,ja,Samstag,'>17 Uhr','10 - 25 km',2000-<3200,0,607,165,15,8,26,63,252,?,216,?,54,?,?,?,99,273
m,>60,ja,Partnerschaft,nein,Freitag,'>17 Uhr','10 - 25 km',<1000,'1 bis 5',257,?,5,?,50,9,189,?,?,?,?,157,?,?,?,?
w,31-40,ja,ledig,ja,Samstag,'<10 Uhr','< 10 km',2000-<3200,0,367,142,?,54,?,?,?,?,?,?,?,?,?,?,?,171
m,31-40,nein,ledig,ja,Dienstag,'>17 Uhr','10 - 25 km',<1000,'> 5',107,?,2,?,45,82,96,?,396,14,9,?,?,?,57,51
m,31-40,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',315,?,6,20,?,30,?,120,?,?,?,?,102,?,?,87
w,18-30,ja,Partnerschaft,ja,Donnerstag,'12-14 Uhr','10 - 25 km',2000-<3200,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
m,18-30,nein,ledig,nein,Samstag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',195,43,?,?,?,38,?,?,?,?,?,?,?,?,?,114
m,51-60,ja,ledig,ja,Donnerstag,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',176,117,?,?,?,?,?,?,?,?,?,44,15,?,?,?
m,18-30,nein,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',168,?,14,?,?,?,?,?,?,12,126,?,?,?,62,?
w,31-40,nein,Partnerschaft,ja,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',223,69,4,12,?,?,?,?,?,?,?,150,?,?,?,?
w,31-40,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',195,?,?,?,41,?,240,?,?,?,?,130,24,?,?,?
w,18-30,ja,Partnerschaft,nein,Freitag,'14-17 Uhr','< 10 km',1000-<2000,0,73,?,?,20,39,?,93,?,?,?,?,?,14,?,?,?
m,41-50,nein,ledig,ja,Mittwoch,'<10 Uhr','< 10 km',3200-<4500,0,238,?,?,?,?,?,?,?,?,?,?,?,78,160,?,?
m,18-30,nein,Partnerschaft,ja,Dienstag,'10-12 Uhr','10 - 25 km',1000-<2000,'> 5',320,?,11,8,?,80,?,?,?,144,?,?,?,?,?,165
w,41-50,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',2000-<3200,'> 5',701,?,4,33,?,87,?,?,?,?,?,214,?,324,8,106
m,>60,ja,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',855,192,6,?,5,64,52,?,184,204,?,100,?,?,?,348
w,51-60,nein,Partnerschaft,ja,Samstag,'<10 Uhr','10 - 25 km',1000-<2000,'> 5',173,?,?,?,31,?,?,?,23,35,?,107,?,?,?,?
w,51-60,ja,Partnerschaft,ja,Montag,'10-12 Uhr','< 10 km',1000-<2000,0,489,69,?,?,?,12,?,?,?,?,?,408,?,?,?,?
m,>60,nein,Partnerschaft,nein,Donnerstag,'>17 Uhr','10 - 25 km',3200-<4500,'1 bis 5',156,?,9,12,?,63,?,?,?,210,27,?,15,?,41,105
m,31-40,nein,ledig,nein,Montag,'12-14 Uhr','10 - 25 km',<1000,'> 5',349,?,?,?,52,36,132,135,?,126,?,?,?,?,?,?
m,>60,nein,Partnerschaft,nein,Samstag,'10-12 Uhr','< 10 km',2000-<3200,'> 5',504,174,21,12,16,26,26,?,?,135,11,?,?,?,?,?
w,41-50,ja,ledig,ja,Freitag,'12-14 Uhr','10 - 25 km',2000-<3200,'> 5',241,?,10,26,102,10,?,?,?,321,96,?,33,?,?,?
m,51-60,ja,ledig,ja,Montag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',386,?,12,?,126,41,124,?,168,?,?,228,?,?,20,?
m,41-50,nein,ledig,ja,Donnerstag,'10-12 Uhr','> 25 km',2000-<3200,0,844,288,4,?,?,42,116,?,?,38,?,6,?,?,?,372
w,51-60,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',135,40,2,10,93,?,?,?,219,?,?,?,?,?,?,?
w,51-60,nein,ledig,ja,Montag,'10-12 Uhr','10 - 25 km',3200-<4500,'> 5',537,?,?,?,?,?,?,?,?,?,36,?,?,?,66,441
m,31-40,nein,ledig,ja,Freitag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',259,70,6,10,?,48,?,?,?,182,141,?,42,?,54,?
m,>60,ja,ledig,ja,Donnerstag,'14-17 Uhr','10 - 25 km',3200-<4500,'1 bis 5',94,?,?,?,?,?,?,?,?,?,?,?,?,?,?,94
m,18-30,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',>4500,'> 5',492,?,?,?,174,?,?,?,?,68,150,?,?,?,5,168
m,41-50,nein,Partnerschaft,ja,Samstag,'>17 Uhr','< 10 km',<1000,'1 bis 5',83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,83
m,>60,ja,Partnerschaft,ja,Dienstag,'14-17 Uhr','< 10 km',1000-<2000,0,242,?,12,14,13,54,?,?,42,?,?,?,?,152,?,?
m,31-40,ja,ledig,ja,Donnerstag,'<10 Uhr','> 25 km',2000-<3200,0,78,?,8,7,?,16,?,?,?,?,?,?,?,?,?,70
m,>60,ja,Partnerschaft,nein,Montag,'>17 Uhr','10 - 25 km',3200-<4500,'> 5',781,?,10,?,132,78,?,?,192,96,117,408,?,?,?,?
m,>60,ja,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',2000-<3200,'> 5',375,?,?,?,?,22,?,?,?,81,?,272,?,?,?,?
m,>60,ja,ledig,nein,Freitag,'12-14 Uhr','< 10 km',1000-<2000,'> 5',194,?,?,10,26,?,264,?,219,?,?,?,?,?,?,158
m,51-60,nein,ledig,ja,Samstag,'12-14 Uhr','< 10 km',3200-<4500,'> 5',535,?,6,33,132,56,105,?,195,?,?,198,14,?,?,158
w,51-60,ja,Partnerschaft,nein,Samstag,'>17 Uhr','10 - 25 km',<1000,'> 5',207,?,?,?,?,?,?,?,?,177,?,?,30,?,?,?
m,51-60,ja,ledig,ja,Dienstag,'>17 Uhr','10 - 25 km',2000-<3200,0,21,?,21,13,?,105,?,?,?,?,?,?,?,?,?,?
m,51-60,nein,Partnerschaft,nein,Samstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',765,267,12,30,?,?,?,33,?,183,?,228,42,?,?,?
m,31-40,nein,ledig,ja,Freitag,'10-12 Uhr','10 - 25 km',1000-<2000,'1 bis 5',101,?,10,12,?,93,?,?,?,?,88,?,3,?,27,?
w,18-30,nein,ledig,ja,Montag,'12-14 Uhr','10 - 25 km',1000-<2000,'> 5',458,?,4,?,?,48,270,?,?,276,22,80,70,?,?,?
m,>60,ja,ledig,ja,Dienstag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',177,?,9,4,44,?,?,?,132,?,?,?,19,?,?,81
m,>60,ja,ledig,nein,Dienstag,'10-12 Uhr','< 10 km',2000-<3200,'1 bis 5',115,?,11,?,?,78,?,?,?,168,104,?,?,?,?,?
w,41-50,nein,ledig,ja,Dienstag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',459,162,?,?,93,120,?,?,?,?,48,?,36,?,99,?
m,18-30,nein,Partnerschaft,nein,Freitag,'12-14 Uhr','10 - 25 km',1000-<2000,'> 5',464,?,2,20,96,45,76,?,?,213,?,114,?,?,?,?
w,41-50,ja,ledig,nein,Freitag,'12-14 Uhr','< 10 km',1000-<2000,'1 bis 5',345,?,?,?,38,19,64,?,94,129,?,?,18,?,?,141
w,18-30,nein,Partnerschaft,ja,Donnerstag,'14-17 Uhr','< 10 km',2000-<3200,'> 5',400,68,?,?,?,56,?,?,?,?,?,276,?,?,?,?
w,41-50,ja,Partnerschaft,ja,Freitag,'10-12 Uhr','10 - 25 km',3200-<4500,'> 5',168,?,?,?,156,?,162,?,?,?,12,?,?,?,87,?
m,51-60,nein,ledig,ja,Samstag,'10-12 Uhr','< 10 km',<1000,'1 bis 5',166,?,?,?,?,?,?,?,?,?,46,?,?,?,?,?
m,18-30,nein,Partnerschaft,nein,Donnerstag,'>17 Uhr','< 10 km',2000-<3200,'> 5',51,?,?,10,41,?,267,?,246,?,?,?,?,?,?,?
m,51-60,ja,Partnerschaft,ja,Dienstag,'<10 Uhr','< 10 km',1000-<2000,0,577,?,?,?,46,?,252,?,?,?,?,267,?,?,?,264
m,>60,ja,ledig,ja,Montag,'10-12 Uhr','10 - 25 km',1000-<2000,0,210,?,?,?,126,?,375,?,96,24,?,?,60,?,?,?
m,18-30,ja,Partnerschaft,nein,Samstag,'10-12 Uhr','10 - 25 km',2000-<3200,'> 5',240,?,4,54,114,25,?,?,?,?,?,?,26,?,?,?
m,18-30,nein,ledig,ja,Donnerstag,'12-14 Uhr','< 10 km',1000-<2000,'> 5',585,?,?,15,?,?,?,?,?,?,174,304,?,?,6,50
m,41-50,nein,Partnerschaft,ja,Freitag,'>17 Uhr','< 10 km',3200-<4500,'1 bis 5',507,?,?,18,69,?,?,?,59,156,?,?,?,?,?,264
m,18-30,ja,Partnerschaft,nein,Montag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',515,?,3,3,54,42,345,?,?,92,?,93,69,?,?,204
m,18-30,nein,Partnerschaft,ja,Samstag,'10-12 Uhr','< 10 km',2000-<3200,0,451,?,?,?,?,?,?,?,?,82,?,?,?,?,?,369
m,18-30,ja,Partnerschaft,ja,Dienstag,'>17 Uhr','< 10 km',2000-<3200,'> 5',274,72,12,?,58,27,108,?,?,?,?,?,40,?,?,92
m,31-40,ja,Partnerschaft,ja,Samstag,'10-12 Uhr','< 10 km',1000-<2000,0,968,138,12,7,?,?,?,?,?,86,189,306,?,?,?,297
m,>60,ja,ledig,ja,Freitag,'>17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',311,?,?,?,?,?,?,57,?,147,?,?,81,?,?,26
w,>60,ja,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',121,?,27,9,?,27,?,?,?,?,?,94,?,?,?,?
w,31-40,ja,ledig,ja,Montag,'14-17 Uhr','< 10 km',3200-<4500,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
w,>60,nein,Partnerschaft,nein,Freitag,'10-12 Uhr','< 10 km',2000-<3200,0,463,219,2,46,36,23,99,?,101,?,?,138,?,?,?,42
w,41-50,ja,ledig,ja,Dienstag,'<10 Uhr','< 10 km',>4500,'> 5',370,?,?,?,?,?,?,?,?,114,?,?,32,?,?,224
w,>60,ja,Partnerschaft,ja,Montag,'>17 Uhr','< 10 km',>4500,0,230,?,?,24,75,?,?,?,?,?,?,?,?,?,56,75
m,>60,nein,Partnerschaft,ja,Freitag,'>17 Uhr','10 - 25 km',<1000,'1 bis 5',539,114,?,?,?,?,?,?,?,?,129,?,?,188,49,108
m,18-30,nein,ledig,ja,Samstag,'14-17 Uhr','< 10 km',>4500,'> 5',595,?,10,?,?,?,?,?,?,?,27,210,56,?,87,276
m,18-30,nein,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',>4500,'> 5',858,?,21,34,?,?,111,?,?,177,?,474,?,?,?,?
m,18-30,nein,Partnerschaft,ja,Samstag,'12-14 Uhr','< 10 km',1000-<2000,'1 bis 5',412,?,12,10,43,?,90,?,152,124,120,?,24,?,?,213
w,>60,ja,ledig,ja,Dienstag,'12-14 Uhr','10 - 25 km',2000-<3200,'> 5',885,?,14,38,102,94,138,?,126,?,?,489,?,?,?,260
m,18-30,ja,Partnerschaft,nein,Montag,'14-17 Uhr','< 10 km',1000-<2000,0,688,?,?,30,?,39,?,?,?,252,?,170,81,?,?,116
m,51-60,nein,Partnerschaft,ja,Dienstag,'10-12 Uhr','< 10 km',2000-<3200,'1 bis 5',533,?,15,28,?,34,156,?,?,44,32,?,?,?,51,330
w,41-50,nein,Partnerschaft,ja,Montag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',656,62,12,1,?,25,?,?,?,186,?,246,?,?,?,150
m,18-30,nein,ledig,nein,Freitag,'<10 Uhr','< 10 km',3200-<4500,'> 5',377,132,2,?,38,?,?,?,?,99,?,66,?,?,?,?
m,>60,ja,ledig,ja,Freitag,'>17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',235,?,?,?,?,?,?,?,?,219,?,?,16,?,?,?
w,>60,nein,ledig,ja,Freitag,'14-17 Uhr','> 25 km',<1000,'1 bis 5',292,?,3,63,90,?,236,?,78,?,?,151,48,?,?,?
m,51-60,ja,ledig,nein,Dienstag,'14-17 Uhr','< 10 km',2000-<3200,'> 5',532,30,2,22,18,25,?,?,166,?,?,184,?,?,?,298
w,18-30,nein,ledig,ja,Dienstag,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',272,?,15,15,56,16,174,?,?,136,50,?,?,?,78,151
m,31-40,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',<1000,'> 5',506,?,?,45,35,?,231,?,68,12,?,138,54,?,?,222
m,>60,ja,ledig,nein,Donnerstag,'>17 Uhr','10 - 25 km',2000-<3200,'> 5',145,?,?,?,34,?,222,?,35,?,?,88,?,?,23,?
m,31-40,nein,Partnerschaft,nein,Samstag,'>17 Uhr','< 10 km',1000-<2000,0,628,?,?,?,?,40,?,210,?,150,60,?,?,?,99,184
w,18-30,nein,ledig,ja,Montag,'12-14 Uhr','< 10 km',>4500,'1 bis 5',156,?,12,?,?,28,?,?,?,144,?,?,?,?,?,?
m,41-50,ja,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,0,202,?,5,?,29,?,?,?,96,?,?,168,?,?,?,?
w,41-50,nein,Partnerschaft,ja,Samstag,'10-12 Uhr','< 10 km',3200-<4500,'1 bis 5',148,?,?,?,?,?,?,?,?,?,?,?,?,60,?,88
m,>60,ja,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,0,221,?,8,22,66,22,210,?,?,?,?,?,21,?,?,126
m,41-50,ja,ledig,ja,Samstag,'>17 Uhr','> 25 km',2000-<3200,'> 5',744,?,?,?,75,132,?,?,?,42,8,254,?,?,3,140
w,>60,nein,Partnerschaft,nein,Freitag,'12-14 Uhr','< 10 km',2000-<3200,'1 bis 5',384,?,?,36,?,?,?,?,?,?,?,348,?,?,?,?
m,>60,nein,ledig,ja,Freitag,'>17 Uhr','< 10 km',3200-<4500,'> 5',308,?,?,?,?,?,?,48,?,88,?,?,?,?,?,172
w,>60,nein,ledig,nein,Donnerstag,'<10 Uhr','< 10 km',2000-<3200,0,342,?,?,?,?,?,?,?,?,?,42,66,?,?,35,?
w,18-30,ja,Partnerschaft,nein,Freitag,'12-14 Uhr','< 10 km',2000-<3200,'1 bis 5',209,?,5,?,?,66,?,?,?,?,?,204,?,?,?,?
m,>60,nein,Partnerschaft,ja,Dienstag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',668,?,6,10,?,?,148,?,?,106,138,279,?,?,?,?
w,41-50,nein,Partnerschaft,ja,Freitag,'10-12 Uhr','< 10 km',>4500,'1 bis 5',242,?,7,?,?,40,?,?,?,71,120,40,?,?,34,?
m,51-60,ja,Partnerschaft,ja,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',107,?,?,7,?,?,?,34,?,?,?,?,66,?,?,?
m,>60,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',>4500,'> 5',535,70,9,8,69,?,11,?,327,48,117,135,51,?,30,84
m,>60,ja,Partnerschaft,ja,Mittwoch,'<10 Uhr','< 10 km',<1000,0,530,?,12,12,93,28,64,?,94,?,?,46,?,90,?,260
m,51-60,nein,ledig,ja,Dienstag,'>17 Uhr','< 10 km',<1000,'> 5',206,?,?,?,?,?,?,?,?,?,?,104,102,?,?,?
m,>60,nein,ledig,ja,Freitag,'10-12 Uhr','10 - 25 km',3200-<4500,0,267,?,?,32,94,51,75,?,?,?,?,90,?,?,?,?
w,>60,ja,Partnerschaft,ja,Dienstag,'12-14 Uhr','10 - 25 km',<1000,'1 bis 5',156,?,12,30,?,9,?,?,?,?,?,?,36,?,?,108
m,31-40,nein,ledig,nein,Freitag,'10-12 Uhr','10 - 25 km',3200-<4500,0,549,117,?,?,28,?,130,?,?,65,138,?,?,?,?,266
m,51-60,ja,ledig,nein,Dienstag,'10-12 Uhr','10 - 25 km',<1000,0,40,?,21,?,?,60,?,?,?,?,?,?,19,?,?,?
m,31-40,ja,Partnerschaft,nein,Dienstag,'14-17 Uhr','< 10 km',1000-<2000,'1 bis 5',641,237,6,?,54,13,210,?,107,49,88,?,42,?,?,?
m,>60,nein,ledig,ja,Dienstag,'12-14 Uhr','10 - 25 km',1000-<2000,'1 bis 5',362,?,?,60,?,?,?,?,?,38,?,264,?,?,?,?
m,51-60,ja,Partnerschaft,ja,Montag,'14-17 Uhr','10 - 25 km',2000-<3200,'> 5',627,?,18,11,?,51,?,?,?,24,150,336,?,?,30,48
m,51-60,nein,Partnerschaft,ja,Dienstag,'12-14 Uhr','> 25 km',1000-<2000,'> 5',178,17,?,?,35,?,?,?,?,?,?,?,32,?,?,94
w,41-50,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','> 25 km',3200-<4500,'> 5',173,?,10,9,15,25,126,?,?,84,40,?,108,?,84,?
w,31-40,nein,ledig,ja,Montag,'<10 Uhr','10 - 25 km',2000-<3200,0,271,?,8,?,?,32,?,108,?,23,?,132,?,?,?,?
w,41-50,nein,Partnerschaft,ja,Montag,'12-14 Uhr','10 - 25 km',<1000,0,962,?,10,48,51,72,210,?,165,40,52,280,81,?,?,144
m,18-30,ja,Partnerschaft,ja,Samstag,'14-17 Uhr','> 25 km',<1000,'> 5',426,?,4,6,?,48,?,?,204,270,70,122,?,?,90,?
